Sector,Disposed,Recycle,Organics,Other,Generation,Diversion Rate
"Arts, Entertainment, & Recreation",2.56,0.17,0.03,0.33,3.08,17
Durable Wholesale & Trucking,0.6,0.17,0,2.23,2.99,80
Education,0.43,0.05,0.01,0.02,0.5,15
Hotels & Lodging,1.72,0.22,0.01,0.18,2.14,20
Manufacturing - Electronic Equipment,0.31,0.07,0,0.36,0.75,58
Manufacturing - Food & Nondurable Wholesale,1.28,0.05,0.01,0.51,1.85,31
Manufacturing - Other,0.45,0.1,0,0.94,1.5,70
Medical & Health,0.67,0.05,0.01,0.01,0.74,9
Public Administration,0.32,0.04,0,0.02,0.39,16
Restaurants,2.4,0.26,0.17,0.08,2.92,18
Retail Trade - Food & Beverage Stores,1.21,0.15,0.13,5.15,6.64,82
Retail Trade - Other,2.14,0.1,0,0.17,2.41,11
"Services - Management, Administrative, Support & Social",0.74,0.11,0.57,0.02,1.44,48
"Services - Professional, Technical, & Financial",1.86,0.32,0.08,0.04,2.31,19
Services - Repair & Personal,0.94,0.15,0.24,0.18,1.5,38
Other,0.5,0.05,0.01,0.64,1.2,58
Overall,1.13,0.14,0.12,0.3,1.77,36